代码,名称,日期,收盘价,涨跌幅,换手率
002207,准油股份,2026-01-15,9.02,-2.8,19.95
002248,华东数控,2026-01-15,12.48,-3.63,8.52
603598,引力传媒,2026-01-15,31.51,-2.75,22.78
600372,中航机载,2026-01-15,14.76,-3.21,2.87
600152,维科技术,2026-01-15,7.89,-0.88,5.21
002082,万邦德,2026-01-15,16.91,0.89,3.11
600967,内蒙一机,2026-01-15,19.91,1.48,5.11
688365,光云科技,2026-01-15,27.36,-20.0,7.7
603339,四方科技,2026-01-15,14.21,-1.52,2.72
600986,浙文互联,2026-01-15,11.15,-10.01,9.91
600629,华建集团,2026-01-15,23.38,1.21,5.21
002795,永和智控,2026-01-15,7.04,-0.98,5.83
600475,华光环能,2026-01-15,23.8,1.23,2.02
603015,弘讯科技,2026-01-15,15.54,-1.58,8.15
600640,国脉文化,2026-01-15,14.61,-2.08,2.73
600552,凯盛科技,2026-01-15,14.55,-0.41,7.03
002342,巨力索具,2026-01-15,12.6,-10.0,3.21
600869,远东股份,2026-01-15,10.09,-1.08,3.98
002465,海格通信,2026-01-15,23.96,-9.99,1.64
000159,国际实业,2026-01-15,6.21,-2.05,5.81
600410,华胜天成,2026-01-15,24.42,10.0,3.27
001202,炬申股份,2026-01-15,19.08,1.06,12.12
688207,格灵深瞳,2026-01-15,18.75,-0.58,5.07
002443,金洲管道,2026-01-15,8.79,1.38,4.27
002609,捷顺科技,2026-01-15,11.81,-2.48,11.44
603608,天创时尚,2026-01-15,9.55,-5.45,7.59
002769,普路通,2026-01-15,13.3,-6.6,11.54
002677,浙江美大,2026-01-15,9.54,-4.89,5.58
600637,东方明珠,2026-01-15,14.9,0.27,9.5
000892,欢瑞世纪,2026-01-15,8.36,-7.21,15.67
002279,久其软件,2026-01-15,9.32,-4.99,16.2
002510,天汽模,2026-01-15,7.77,-3.0,8.78
002519,银河电子,2026-01-15,10.31,-10.03,7.11
688106,金宏气体,2026-01-15,22.88,2.83,3.76
603488,展鹏科技,2026-01-15,11.35,-2.16,8.39
002512,达华智能,2026-01-15,7.03,-5.26,16.22
002195,岩山科技,2026-01-15,11.87,-10.01,5.11
000710,贝瑞基因,2026-01-15,13.5,-10.0,13.88
002639,雪人集团,2026-01-15,24.23,-9.99,16.06
000612,焦作万方,2026-01-15,12.85,0.39,6.7
601611,中国核建,2026-01-15,17.47,-3.11,5.76
600135,乐凯胶片,2026-01-15,11.34,-0.44,5.94
601900,南方传媒,2026-01-15,15.51,-6.17,5.36
000532,华金资本,2026-01-15,16.73,-2.68,5.04
002203,海亮股份,2026-01-15,15.45,-1.84,3.09
600556,天下秀,2026-01-15,8.4,-9.97,10.32
603969,银龙股份,2026-01-15,10.49,-1.78,2.45
688119,中钢洛耐,2026-01-15,8.03,-4.63,5.57
688586,江航装备,2026-01-15,14.7,-4.79,3.22
